 #,Song,Artist,BPM,Camelot,Energy ,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1,Good Morning,gifting guide,120,7B,75,2026-01-30,03:22,2,,,An Almost Inconceivable Sprite Appears to Comfort You on Your Fall,2025-12-25,48,32,96,3,0,10,-11,F,4,7Mm11xF8YLfIxB1GtGKBV3,6471499 Records DK,QT6G42524780
2,On Little Cat Feet,Nightmargin,179,10A,62,2025-12-21,02:35,46,,,OneShot (Original Game Soundtrack),2016-12-31,61,82,93,67,0,0,-12,B minor,4,0Z60ItXkL4QX0R5UqXgslv,Materia Collective,QZ6K41700172
3,Take Responsibility (Hear Me),Koa,98,6A,57,2025-12-21,03:25,11,,,Take Responsibility (Hear Me),2024-12-29,60,22,0,39,0,20,-6,G minor,4,3Br4mmfQtIAtDNgV4mgtf0,Mumble Etc.,QT3F32484101
4,Loving forever,"Azure Comet, Roxby",133,5B,67,2025-12-21,04:34,2,,,Stardom,2025-01-18,50,27,0,16,0,20,-7,D#/E♭,4,4uFDd5jC42nM4GG5k7CbZo,Azure Comet / Roxby Records,QZFZ42519564
5,Background pt. 1,"Koa, TCB",112,4B,69,2026-01-20,03:08,7,,,In Your Eyes,2021-10-24,82,3,0,77,0,0,-6,G#/A♭,4,20uSeqLwxfpfLyRrLP5dIs,Mumble Etc.,QZNWU2142297
6,Already Dead,"KittenSneeze, Jason Jeffrey James, Muscape",90,11B,72,2025-12-21,02:38,39,,,Already Dead,2022-10-31,41,1,0,43,0,10,-8,A,4,0dS2TBzhnLcea7663hGW4I,1671363 Records DK,QZTAU2276034
7,Forgotten,Maebi,71,11A,13,2025-12-21,01:50,52,,,Forgotten,2025-01-03,20,90,46,12,0,40,-19,F#/G♭ minor,3,5P1fJXurMagkoch4xcF0fr,wilfstudio,QZZ7R2435286
8,Summer's Gone,"Azure Comet, NekoSnicker",128,12B,71,2025-12-21,03:18,4,,,Summer's Gone,2025-06-27,61,1,0,34,0,10,-8,E,4,0hcLtpS1dqD7qsC8PV84mf,Azure Comet,QZTB72557331
9,Cheerleader,Porter Robinson,148,5A,70,2026-01-27,03:57,57,"edm, electronic",Electronic,SMILE! :D,2024-07-26,46,0,0,27,0,0,-3,C minor,4,1ggsR5kCepKTW4F64bCFdV,Mom+Pop Music,USQE92400031
10,Von dutch,Charli xcx,130,6B,70,2025-12-21,02:44,79,"hyperpop, art pop","Pop, Electronic",BRAT,2024-06-07,71,0,0,65,0,10,-6,A#/B♭,4,3Y1EvIgEVw51XtgNEgpz5c,Atlantic Records,USAT22313737
11,1999,"Charli xcx, Troye Sivan",124,9B,74,2025-12-21,03:09,58,"hyperpop, art pop","Pop, Electronic",1999,2018-10-05,74,2,0,66,0,20,-5,G,4,05mAIVLkIWc2d1UBYZBCp8,Atlantic Records UK,GBAHS1800662
12,ANGELFISH (loser say what?),"Vylet Pony, Namii",95,3A,74,2026-01-31,02:06,23,"hyperpop, slap house","Electronic, Pop",can opener's notebook: fish whisperer,2022-02-22,55,23,1,37,0,10,-5,A#/B♭ minor,4,5gcxt4wlkCtVCkrWnZfqEI,Horse Friends Music,QZDA62277652
13,microchip,Oliver Buckland,153,4B,29,2025-12-21,02:56,41,,,THIRTY三十,2014-10-20,92,18,94,97,0,0,-9,G#/A♭,4,0E7i3iyhSeQnnBn7tALA3Q,Oliver Buckland,QZFP51941168
14,Nightmare Night,Vylet Pony,125,3B,75,2025-12-21,04:52,20,hyperpop,"Electronic, Pop",Daybreaker / Nightmare Night (2025),2025-03-28,75,0,0,59,10,0,-6,C♯/D♭,4,6MWW5wbLOxCU4JPW9d1s3Q,Horse Friends Music / 32.7 The Creek,QZK6M2529258
15,What I Want,Gregor McMurray,125,3B,77,2025-12-21,03:02,57,,,What I Want,2024-02-28,65,1,0,42,30,20,-4,C♯/D♭,4,77VtR2l9SUqNgN4mDRDEDt,VOID Creative Group,CA5KR2434822
16,Killing the Mercy,And One,107,3B,80,2025-12-21,05:19,47,"ebm, industrial, synthpop, darkwave","Electronic, Rock, Pop",S.T.O.P. (Bonus Tracks Version),2012-05-25,70,8,11,47,0,40,-8,C♯/D♭,4,03Ss2AQ3MbFkezRA5nRMyC,SPV,DEA451202900
17,WE ARE SO BACK,"availax, Wavetapper",126,4A,80,2025-12-21,02:40,36,"breakcore, jungle, rally house","Electronic, Rock",WE ARE SO BACK,2025-08-16,47,0,91,31,0,0,-9,F minor,4,41AB76oVpERyXxkLtj2Af5,availax & Wavetapper,QZWFS2574974
18,U Love It,"Sophie Powers, $atori Zoom",88,7B,81,2025-12-21,02:40,52,drift phonk,"Electronic, Hip Hop",U Love It,2022-02-18,61,0,0,76,0,60,-4,F,4,4tvVKTTnvDal5mUhf80RJC,Set Records,CAUM82200026
19,Locals (Girls like us) [with gabby start],"underscores, gabby start",134,11B,68,2025-12-21,04:18,30,hyperpop,"Electronic, Pop",Wallsocket,2023-09-22,72,1,0,51,10,0,-6,A,4,0MK6lVnmhVulpP62vkZBWV,Mom+Pop,USQE92300060
20,yeah!,availax,115,8A,85,2025-12-21,02:13,42,"breakcore, jungle",Electronic,what's a piano?,2024-08-16,61,3,93,96,0,30,-8,A minor,4,0uF9spmpOFzxVjtvXhxa50,SVPACYBERIA,QZDA82432677
21,Lick a Rock,gifting guide,137,2B,85,2025-12-21,02:16,0,,,Technikkanexis,2025-07-04,44,21,81,4,0,10,-11,F#/G♭,4,6Dlalp7VSvuxW9vgdMCzP6,6471499 Records DK,QZTB92508999
22,Solace,Maebi,86,3B,15,2025-12-21,01:43,53,,,Forgotten,2025-01-03,45,95,95,30,0,10,-11,C♯/D♭,4,0K1Tp8l0FLAJc7a4iuO8Jg,wilfstudio,QZZ7R2435290
23,Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",140,12A,85,2026-01-31,03:02,86,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,73,4,0,71,10,20,-4,C♯/D♭ minor,4,0MHStU0muAIEMbwdnebYu2,K-Pop Demon Hunters,QZ8BZ2513511
24,Lazuli,Artifyber,129,11A,88,2025-12-21,03:46,19,,,Lazuli,2024-09-23,76,0,55,8,0,20,-7,F#/G♭ minor,4,36WKSccpSpIzVm9HUwCSQ4,Artifyber,TCAIS2466801
